,China CPI YoY,Hong Kong CPI Composite All It,India CPI Industrial Workers Y,Indonesia CPI YoY,Malaysia CPI YoY 2010=100,Pakistan CPI 2015-16=100 YoY,Philippines CPI All items YoY%,Singapore CPI All Items YoY,South Korea CPI YoY,Taiwan CPI YoY NSA,Thailand CPI All Items YoY,Vietnam CPI All Groups Compone,US CPI Urban Consumers YoY NSA,Eurostat Eurozone MUICP All It,Japan CPI Nationwide YoY,UK CPI EU Harmonized YoY NSA,STCA Canada CPI YoY NSA 2002=1,Australia CPI All Items YoY,New Zealand CPI All Groups YoY,Switzerland CPI All Items YoY,Denmark CPI YoY,Norway CPI YoY,Sweden CPI YoY 1980=100
Current,-0.2,2,4.722,2.5632,1.9486,26.8851,4.9,4.1,3.8,3.05,-0.3146,3.5914,3.6997,2.9,3,6.7,3.7983,5.4,5.6492,1.7,0.9,3.344,6.4821
Previous,0,2,4.722,2.277,1.9486,31.4358,6.1,4.1,3.7,2.93,0.2971,3.6566,3.6997,4.3,3,6.7,3.7983,5.4,5.6492,1.7,0.9,3.344,6.4821
