,Crud Oil,Brent,Natural Gas,Gasoline,Heating Oil,Coal,Gold,Silver,Copper,Steel
Current,73.53,78.02,3.04,2.1,2.73,123.1,1990.02,24.01,3.69,3957
Previous,58.824,62.416,2.432,1.68,2.184,98.48,1592.016,19.208,2.952,3165.6
