,Dow Jones,S&P 500,Nasdaq,Small Cap 2000,FTSE 100,Shanghai,SZSE Component,China A500,Hang Seng
Current,35410.37 ,4560.52 ,14305.71 ,1803.75 ,7488.26 ,3035.13 ,9810.92 ,11811.36 ,17535.50 
Previous,35333.47 ,4550.43 ,14241.02 ,1799.95 ,7460.70 ,3034.90 ,9810.38 ,11763.28 ,17507.50 
