Ticker,Security Name,Sector,Industry,Price,Weight,Return,Contribution
VIE,Veolia Environnement SA,Utilities,Multi-Utilities,27.83,,15.96%,
SREN,Swiss Re AG,Financials,Insurance,101.55,,34.90%,
ELE,Endesa S.A.,Utilities,Electric Utilities,19.16,,8.58%,
MAERSKA,A.P. Mller - Mrsk A/S,Industrials,Marine Transportation,10000.00,,-4.35%,
0MR6,Chr. Hansen Holding A/S,Materials,Chemicals,550.79,,29.58%,
DANSKE,Danske Bank A/S,Financials,Banks,176.50,,50.15%,
ADEN,Adecco Group AG,Industrials,Professional Services,40.98,,33.96%,
ABI,Anheuser-Busch InBev SA/NV,Consumer Staples,Beverages,56.82,,6.30%,
NCM,Newcrest Mining Limited,Materials,Metals and Mining,20.89,,-8.44%,
ORSTED,rsted A/S,Utilities,Electric Utilities,311.50,,-49.47%,
NEM,Newmont Corporation,Materials,Metals and Mining,56.03,,,
ALO,Alstom SA,Industrials,Machinery,12.46,,-48.18%,
EOAN,E.ON SE,Utilities,Multi-Utilities,11.54,,32.84%,
EBS,Erste Group Bank AG,Financials,Banks,35.89,,30.71%,
HEI,Heidelberg Materials AG,Materials,Construction Materials,72.00,,45.19%,
[object Object],JPMORGAN PRIME MONEYMARKET FUND  IM SHARE  FUND,Unclassified,Unclassified,,2.18%,,
[object Object],COLLATERAL USD,Unclassified,Unclassified,,0.15%,,
[object Object],AUQ,Unclassified,Unclassified,,0.07%,,
[object Object],AUSTRALIAN DOLLAR,Unclassified,Unclassified,,0.03%,,
[object Object],CASH,Unclassified,Unclassified,,0.01%,,
[object Object],BRITISH POUND,Unclassified,Unclassified,,0.01%,,
[object Object],EURO,Unclassified,Unclassified,,0.00%,,
[object Object],JAPANESE YEN,Unclassified,Unclassified,,0.00%,,
[object Object],NORWEGIAN KRONE,Unclassified,Unclassified,,0.00%,,
[object Object],U.S. DOLLAR FOR FUTURES,Unclassified,Unclassified,,0.00%,,
[object Object],SINGAPORE DOLLAR,Unclassified,Unclassified,,,,
[object Object],SWISS FRANC,Unclassified,Unclassified,,,,
[object Object],UNITS,Unclassified,Unclassified,,,,
LIN,Linde AG,Unclassified,Unclassified,,,,
SYNNE,SYNGENTA AG-2ND LINE,Unclassified,Unclassified,,,,
[object Object],EURO DOLLAR,Unclassified,Unclassified,,,,
[object Object],SINGAPORE DOLLAR,Unclassified,Unclassified,,,,
[object Object],BRITISH POUND CALL A/C,Unclassified,Unclassified,,,,
[object Object],COLLATERAL USD,Unclassified,Unclassified,,,,
[object Object],U.S. DOLLAR,Unclassified,Unclassified,,,,
[object Object],US SDOLLAR CALL A/C,Unclassified,Unclassified,,,,
SGSN,SGS SA-REG,Unclassified,Unclassified,,,,
[object Object],U.S. DOLLAR FOR FUTURES,Unclassified,Unclassified,,,,
[object Object],INDONESIAN RUPIAH,Unclassified,Unclassified,,,,
[object Object],BRITISH POUND,Unclassified,Unclassified,,,,
[object Object],HONG KONG DOLLARS,Unclassified,Unclassified,,,,
[object Object],JAPANESE YEN,Unclassified,Unclassified,,,,
[object Object],AUSTRALIAN DOLLAR,Unclassified,Unclassified,,,,
[object Object],SWEDISH KRONA,Unclassified,Unclassified,,,,
[object Object],SWISS FRANC,Unclassified,Unclassified,,,,
[object Object],USD FUTURES INCOME,Unclassified,Unclassified,,,,
[object Object],SWEDISH KRONA,Unclassified,Unclassified,,,,
[object Object],HONG KONG DOLLAR,Unclassified,Unclassified,,,,
[object Object],MSCI EAFE EQUITY INDEX 15/DEC/2023 MFSZ3 INDEX,Unclassified,Unclassified,,,,
[object Object],DANISH KRONE,Unclassified,Unclassified,,,,
[object Object],SECURITY LENDING INCOME TRANSFER,Unclassified,Unclassified,,,,
NOVOB,Novo Nordisk A/S,Unclassified,Unclassified,,,,
[object Object],EURO BANK,Unclassified,Unclassified,,,,
[object Object],AUSTRALIAN DOLLAR CALL A/C,Unclassified,Unclassified,,,,
[object Object],AUQ,Unclassified,Unclassified,,,,
[object Object],SPI 200 FUTURES EQUITY INDEX 21/DEC/2023 XPZ3,Unclassified,Unclassified,,-0.05%,,
