Ticker,Security Name,Sector,Industry,Price,Weight,Return,Contribution
LMT,Lockheed Martin Corporation,Industrials,Aerospace and Defense,445.03,0.23%,-1.55%,-0.38
MPC,Marathon Petroleum Corporation,Energy,Oil Gas and Consumable Fuels,146.76,0.23%,23.99%,4.66
DIS,The Walt Disney Company,Communication Services,Entertainment,89.44,0.23%,-5.86%,-1.49
T,AT&T Inc.,Communication Services,Diversified Telecommunication Services,15.58,0.22%,-12.73%,-3.37
EOG,EOG Resources Inc.,Energy,Oil Gas and Consumable Fuels,123.06,0.22%,-12.32%,-3.22
MMC,Marsh & McLennan Companies Inc.,Financials,Insurance,200.17,0.21%,21.88%,4.04
LRCX,Lam Research Corporation,Information Technology,Semiconductors and Semiconductor Equipment,673.43,0.21%,36.24%,5.94
CI,The Cigna Group,Health Care,Health Care Providers and Services,294.12,0.21%,-1.55%,-0.35
KVUE,Kenvue Inc.,Consumer Staples,Personal Care Products,19.10,0.21%,,
RTX,RTX Corporation,Industrials,Aerospace and Defense,82.03,0.20%,-10.24%,-2.45
NUE,Nucor Corporation,Materials,Metals and Mining,152.94,0.20%,11.74%,2.19
CRM,Salesforce Inc.,Information Technology,Software,215.28,0.20%,36.49%,5.55
AMD,Advanced Micro Devices Inc.,Information Technology,Semiconductors and Semiconductor Equipment,116.79,0.19%,61.38%,7.81
TRV,The Travelers Companies Inc.,Financials,Insurance,171.00,0.19%,-3.80%,-0.81
KR,The Kroger Co.,Consumer Staples,Consumer Staples Distribution and Retail,44.18,0.19%,-3.42%,-0.71
URI,United Rentals Inc.,Industrials,Trading Companies and Distributors,462.53,0.19%,34.29%,5.05
ADP,Automatic Data Processing Inc.,Industrials,Professional Services,226.35,0.19%,-7.23%,-1.53
REGN,Regeneron Pharmaceuticals Inc.,Health Care,Biotechnology,796.70,0.19%,8.48%,1.53
AMP,Ameriprise Financial Inc.,Financials,Capital Markets,335.13,0.18%,2.86%,0.54
SCHW,The Charles Schwab Corporation,Financials,Capital Markets,53.96,0.18%,-29.97%,-8.31
CVS,CVS Health Corporation,Health Care,Health Care Providers and Services,67.80,0.18%,-28.25%,-7.45
GWW,W.W. Grainger Inc.,Industrials,Trading Companies and Distributors,789.66,0.18%,36.04%,4.97
HAL,Halliburton Company,Energy,Energy Equipment and Services,38.66,0.18%,1.49%,0.27
IQV,IQVIA Holdings Inc.,Health Care,Life Sciences Tools and Services,193.67,0.17%,-14.51%,-3.13
DVN,Devon Energy Corporation,Energy,Oil Gas and Consumable Fuels,45.42,0.17%,-32.59%,-8.91
TMUS,T-Mobile US Inc.,Communication Services,Wireless Telecommunication Services,147.21,0.17%,0.70%,0.13
MS,Morgan Stanley,Financials,Capital Markets,75.04,0.17%,-14.14%,-3.01
MCD,McDonald's Corporation,Consumer Discretionary,Hotels Restaurants and Leisure,269.20,0.17%,1.40%,0.25
DHR,Danaher Corporation,Health Care,Life Sciences Tools and Services,195.98,0.17%,-18.05%,-3.96
LYB,LyondellBasell Industries N.V.,Materials,Chemicals,93.76,0.17%,11.00%,1.78
SLB,Schlumberger Limited,Energy,Energy Equipment and Services,54.00,0.17%,0.27%,0.05
OXY,Occidental Petroleum Corporation,Energy,Oil Gas and Consumable Fuels,61.61,0.17%,-16.22%,-3.42
VLO,Valero Energy Corporation,Energy,Oil Gas and Consumable Fuels,124.27,0.16%,-4.27%,-0.77
CARR,Carrier Global Corporation,Industrials,Building Products,50.94,0.16%,16.57%,2.43
FERG,Ferguson plc,Industrials,Trading Companies and Distributors,160.50,0.16%,35.52%,4.34
GS,The Goldman Sachs Group Inc.,Financials,Capital Markets,326.91,0.16%,-12.58%,-2.38
MU,Micron Technology Inc.,Information Technology,Semiconductors and Semiconductor Equipment,74.78,0.16%,20.55%,2.81
JBL,Jabil Inc.,Information Technology,Electronic Equipment Instruments and Components,129.57,0.16%,96.86%,8.10
SPGI,S&P Global Inc.,Financials,Capital Markets,394.81,0.16%,11.94%,1.75
NFLX,Netflix Inc.,Communication Services,Entertainment,444.62,0.16%,53.25%,5.69
KLAC,KLA Corporation,Information Technology,Semiconductors and Semiconductor Equipment,528.25,0.15%,41.10%,4.73
DHI,D.R. Horton Inc.,Consumer Discretionary,Household Durables,122.32,0.15%,45.46%,5.07
WM,Waste Management Inc.,Industrials,Commercial Services and Supplies,171.69,0.15%,10.46%,1.52
