Ticker,Security Name,Sector,Industry,Price,Weight,Return,Contribution
TEAM,Atlassian Corporation,Information Technology,Software,175.04,0.22%,22.95%,5.31
MRNA,Moderna Inc.,Health Care,Biotechnology,70.21,0.22%,-58.99%,-40.35
ZS,Zscaler Inc.,Information Technology,Software,178.17,0.21%,25.30%,5.43
ANSS,ANSYS Inc.,Information Technology,Software,291.00,0.21%,13.80%,3.23
DLTR,Dollar Tree Inc.,Consumer Staples,Consumer Staples Distribution and Retail,112.26,0.21%,-32.21%,-12.55
WBD,Warner Bros. Discovery Inc.,Communication Services,Entertainment,9.89,0.20%,-16.47%,-5.12
EBAY,eBay Inc.,Consumer Discretionary,Broadline Retail,38.73,0.17%,-14.87%,-3.90
WBA,Walgreens Boots Alliance Inc.,Consumer Staples,Consumer Staples Distribution and Retail,20.17,0.14%,-46.98%,-16.32
SIRI,Sirius XM Holdings Inc.,Communication Services,Media,4.67,0.15%,-25.89%,-6.54
ZM,Zoom Video Communications Inc.,Information Technology,Software,61.54,0.13%,-30.32%,-7.23
ILMN,Illumina Inc.,Health Care,Life Sciences Tools and Services,92.79,0.13%,-61.77%,-26.48
ALGN,Align Technology Inc.,Health Care,Health Care Equipment and Supplies,191.22,0.12%,-12.68%,-2.25
JD,JD.com Inc.,Consumer Discretionary,Broadline Retail,25.75,0.10%,-46.61%,-10.73
ENPH,Enphase Energy Inc.,Information Technology,Semiconductors and Semiconductor Equipment,78.55,0.09%,-73.10%,-30.40
LCID,Lucid Group Inc.,Consumer Discretionary,Automobiles,3.97,0.07%,-69.25%,-20.46
[object Object],CASH,Unclassified,Unclassified,,0.10%,,
[object Object],DDDUSD,Unclassified,Unclassified,,,,
