Ticker,Security Name,Sector,Industry,Price,Weight,Return,Contribution
CHD,Church & Dwight Co. Inc.,Consumer Staples,Household Products,90.93,0.16%,24.01%,3.46
LSCC,Lattice Semiconductor Corporation,Information Technology,Semiconductors and Semiconductor Equipment,54.86,0.16%,-15.17%,-3.17
WMS,Advanced Drainage Systems Inc.,Industrials,Building Products,113.48,0.16%,26.64%,3.72
JKHY,Jack Henry & Associates Inc.,Financials,Financial Services,150.32,0.15%,-12.75%,-2.52
DOCU,DocuSign Inc.,Information Technology,Software,41.12,0.15%,-22.42%,-4.95
SIRI,Sirius XM Holdings Inc.,Communication Services,Media,4.67,0.15%,-25.89%,-5.97
BSY,Bentley Systems Incorporated,Information Technology,Software,51.61,0.15%,33.80%,4.24
CCI,Crown Castle Inc.,Real Estate,Specialized REITs,95.54,0.15%,-28.30%,-6.61
TPL,Texas Pacific Land Corporation,Energy,Oil Gas and Consumable Fuels,1661.37,0.14%,-37.48%,-9.71
MEDP,Medpace Holdings Inc.,Health Care,Life Sciences Tools and Services,275.87,0.14%,24.77%,3.21
CBSH,Commerce Bancshares Inc.,Financials,Banks,45.37,0.14%,-32.54%,-7.79
GNTX,Gentex Corporation,Consumer Discretionary,Automobile Components,29.68,0.14%,3.05%,0.47
EVRG,Evergy Inc.,Utilities,Electric Utilities,48.05,0.14%,-15.62%,-2.95
TPR,Tapestry Inc.,Consumer Discretionary,Textiles Apparel and Luxury Goods,28.51,0.14%,-16.70%,-3.18
AOS,A. O. Smith Corporation,Industrials,Building Products,73.38,0.14%,24.55%,3.12
BBY,Best Buy Co. Inc.,Consumer Discretionary,Specialty Retail,63.84,0.14%,-10.20%,-1.80
PAYC,Paycom Software Inc.,Industrials,Professional Services,172.00,0.14%,-49.33%,-15.37
DVA,DaVita Inc.,Health Care,Health Care Providers and Services,88.38,0.14%,22.92%,2.90
ALSN,Allison Transmission Holdings Inc.,Industrials,Machinery,52.55,0.14%,25.63%,3.17
FBIN,Fortune Brands Innovations Inc.,Industrials,Building Products,59.84,0.13%,5.71%,0.83
OLN,Olin Corporation,Materials,Chemicals,43.75,0.13%,-25.11%,-4.97
AFG,American Financial Group Inc.,Financials,Insurance,107.94,0.12%,-17.61%,-3.02
SAIC,Science Applications International Corporation,Industrials,Professional Services,113.78,0.12%,7.64%,0.99
NDSN,Nordson Corporation,Industrials,Machinery,223.56,0.12%,-4.41%,-0.61
DV,DoubleVerify Holdings Inc.,Information Technology,Software,30.95,0.11%,17.06%,1.86
BYD,Boyd Gaming Corporation,Consumer Discretionary,Hotels Restaurants and Leisure,56.31,0.11%,-4.02%,-0.52
EXP,Eagle Materials Inc.,Materials,Construction Materials,167.80,0.11%,26.28%,2.57
CHTR,Charter Communications Inc.,Communication Services,Media,406.41,0.11%,3.05%,0.36
CRUS,Cirrus Logic Inc.,Information Technology,Semiconductors and Semiconductor Equipment,72.16,0.11%,-3.68%,-0.47
TSCO,Tractor Supply Company,Consumer Discretionary,Specialty Retail,196.10,0.11%,-4.45%,-0.57
WH,Wyndham Hotels & Resorts Inc.,Consumer Discretionary,Hotels Restaurants and Leisure,76.23,0.10%,5.93%,0.66
CPT,Camden Property Trust,Real Estate,Residential REITs,86.65,0.10%,-21.91%,-3.25
CRI,Carter's Inc.,Consumer Discretionary,Textiles Apparel and Luxury Goods,68.91,0.10%,-1.73%,-0.20
RNG,RingCentral Inc.,Information Technology,Software,26.33,0.10%,-34.37%,-5.88
IPGP,IPG Photonics Corporation,Information Technology,Electronic Equipment Instruments and Components,91.30,0.10%,-3.52%,-0.41
A,Agilent Technologies Inc.,Health Care,Life Sciences Tools and Services,107.46,0.09%,-27.03%,-3.96
SNOW,Snowflake Inc.,Information Technology,IT Services,158.70,0.09%,-0.45%,-0.05
EQR,Equity Residential,Real Estate,Residential REITs,54.18,0.08%,-9.82%,-1.04
IDA,IDACORP Inc.,Utilities,Electric Utilities,94.43,0.08%,-4.59%,-0.45
MSM,MSC Industrial Direct Co. Inc.,Industrials,Trading Companies and Distributors,97.62,0.08%,20.00%,1.53
FAST,Fastenal Company,Industrials,Trading Companies and Distributors,59.64,0.08%,18.12%,1.39
GLPI,Gaming and Leisure Properties Inc.,Real Estate,Specialized REITs,45.05,0.08%,-5.16%,-0.48
HON,Honeywell International Inc.,Industrials,Industrial Conglomerates,186.51,0.08%,-10.39%,-1.02
GIS,General Mills Inc.,Consumer Staples,Food Products,65.16,0.07%,-13.10%,-1.26
ALGM,Allegro MicroSystems Inc.,Information Technology,Semiconductors and Semiconductor Equipment,25.79,0.07%,-9.60%,-0.87
AYI,Acuity Brands Inc.,Industrials,Electrical Equipment,175.84,0.07%,-7.60%,-0.64
MKTX,MarketAxess Holdings Inc.,Financials,Capital Markets,221.50,0.07%,-21.00%,-2.07
AZPN,Aspen Technology Inc.,Information Technology,Software,166.29,0.07%,-30.63%,-3.40
DNB,Dun & Bradstreet Holdings Inc.,Industrials,Professional Services,9.30,0.06%,-33.32%,-3.34
NEM,Newmont Corporation,Materials,Metals and Mining,34.20,0.06%,-23.38%,-1.98
UPS,United Parcel Service Inc.,Industrials,Air Freight and Logistics,138.17,0.05%,-19.38%,-1.41
CBRE,CBRE Group Inc.,Real Estate,Real Estate Management and Development,73.32,0.05%,-6.99%,-0.40
VIRT,Virtu Financial Inc.,Financials,Capital Markets,17.33,0.05%,-20.33%,-1.32
PM,Philip Morris International Inc.,Consumer Staples,Tobacco,90.00,0.04%,0.48%,0.02
LOW,Lowe's Companies Inc.,Consumer Discretionary,Specialty Retail,193.84,0.04%,-5.32%,-0.29
UGI,UGI Corporation,Utilities,Gas Utilities,20.64,0.04%,-41.89%,-3.68
TECH,Bio-Techne Corporation,Health Care,Life Sciences Tools and Services,57.10,0.04%,-34.45%,-2.12
AM,Antero Midstream Corporation,Energy,Oil Gas and Consumable Fuels,12.60,0.03%,22.03%,0.70
TYL,Tyler Technologies Inc.,Information Technology,Software,416.38,0.03%,28.27%,0.76
HE,Hawaiian Electric Industries Inc.,Utilities,Electric Utilities,11.45,0.03%,-69.44%,-7.06
ENOV,Enovis Corporation,Health Care,Health Care Equipment and Supplies,48.21,0.03%,-13.54%,-0.47
RYN,Rayonier Inc.,Real Estate,Specialized REITs,28.30,0.03%,-17.73%,-0.64
PINC,Premier Inc.,Health Care,Health Care Providers and Services,19.34,0.03%,-36.74%,-1.67
UI,Ubiquiti Inc.,Information Technology,Communications Equipment,106.14,0.01%,-62.70%,-1.73
BFB,Brown-Forman Corporation,Consumer Staples,Beverages,57.56,0.00%,-16.32%,-0.10
[object Object],JPMORGAN US GOVT MMKT FUND IM SHARES  RESTRICTED ,Unclassified,Unclassified,,0.11%,,
[object Object],COLLATERAL USD,Unclassified,Unclassified,,0.01%,,
[object Object],S&P500 EMINI FUT EQUITY INDEX 15/DEC/2023 ESZ3,Unclassified,Unclassified,,0.00%,,
[object Object],CASH,Unclassified,Unclassified,,0.00%,,
[object Object],USD FUTURES INCOME,Unclassified,Unclassified,,,,
[object Object],SECURITY LENDING INCOME TRANSFER,Unclassified,Unclassified,,,,
[object Object],U.S. DOLLAR,Unclassified,Unclassified,,,,
[object Object],U.S. DOLLAR FOR FUTURES,Unclassified,Unclassified,,,,
[object Object],US SDOLLAR CALL A/C,Unclassified,Unclassified,,,,
[object Object],UNITS,Unclassified,Unclassified,,,,
[object Object],JPMORGAN PRIME MONEYMARKET FUND  IM SHARE  FUND,Unclassified,Unclassified,,,,
[object Object],U.S. DOLLAR FOR FUTURES,Unclassified,Unclassified,,0.00%,,
